Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
167807,1107676776,G,46.347,16.6806,-42.8483,5.8144,45.9807,0.1261,-1.1995,-1,G,45.6934,-3.7788,44.3571,-10.2978,44.5177,-0.2293,1.6558,1,91.0087
167807,1108404836,G,76.0636,13.623,-42.8025,61.3842,44.9182,1.1184,-1.2627,-1,G,43.5214,-13.8726,38.3936,15.0859,40.823,0.3616,1.9175,1,91.8335
167807,1108288848,G,92.9364,27.099,9.9859,88.3351,28.8803,1.8368,0.3531,1,G,28.5626,-25.0682,-10.7885,-8.4265,27.2912,-0.3041,-2.7352,-1,91.4979
167807,1109146998,G,66.7573,-42.6804,-7.8695,50.7246,43.3998,0.9958,-2.9593,1,G,36.0175,35.0476,6.7661,-4.8095,35.6948,-0.1343,0.1907,-1,91.6242
167807,1109142387,G,68.8553,-27.2977,-33.9638,-53.3136,43.5741,-1.0309,-2.2478,-1,G,45.7492,32.4871,28.283,-15.4152,43.0737,-0.3507,0.7163,1,91.3856
167807,1110090014,G,51.6887,-29.5244,18.3907,38.2336,34.7837,0.9498,2.5845,-1,G,44.345,30.678,-30.5355,-9.6391,43.2846,-0.2209,-0.7831,1,90.8626
167807,1110164497,G,40.7608,3.8405,-37.309,15.9599,37.5061,0.4136,-1.4682,1,G,55.2125,15.9838,50.4282,-15.8089,52.9007,-0.2946,1.2638,-1,92.9824
167807,1110074727,G,153.021,32.0771,-18.202,-148.51,36.8816,-2.1012,-0.5161,1,G,52.6969,-35.3046,16.8755,-35.2953,39.1305,-0.8103,2.6957,-1,92.3221
167807,1109294766,G,125.298,-11.8067,-28.1063,121.532,30.4854,2.0915,-1.9685,1,G,87.3111,4.6832,53.8332,68.5804,54.0365,1.0595,1.484,-1,91.3617
167807,1110432810,G,50.6614,8.1063,-50.0016,-0.833,50.6544,-0.0164,-1.4101,1,G,43.1539,-6.9032,39.2992,16.4367,39.9009,0.4011,1.7447,-1,91.8795
167807,1111512905,G,105.062,-19.3921,-48.9862,90.8977,52.685,1.3136,-1.9477,1,G,43.2297,-35.4038,23.2876,8.5471,42.3762,0.2004,2.5598,-1,91.86
167807,1111767788,G,56.5575,-36.3477,11.7802,41.699,38.209,0.9445,2.8282,1,G,54.2426,48.5184,-2.7108,24.1012,48.5941,0.4776,-0.0558,-1,87.8443
167807,1112577717,G,71.2141,31.284,-28.2429,-57.4028,42.1468,-1.1157,-0.7344,1,G,42.0312,-27.4272,30.9784,-7.3958,41.3753,-0.1778,2.2955,-1,92.7539
167807,1111767434,G,60.5043,-10.0035,33.6021,49.3112,35.0595,1.1418,1.8601,1,G,41.0279,5.321,-40.6697,-0.9724,41.0163,-0.0237,-1.4407,-1,88.8835
167807,1111981506,G,130.896,-43.5664,1.9909,-123.417,43.6118,-1.7632,3.0959,-1,G,52.3908,36.1049,-13.7347,-35.3918,38.6291,-0.8209,-0.3635,1,90.4446
167807,1112458946,G,41.7541,-22.4728,-35.0519,-3.1194,41.6373,-0.0748,-2.1409,1,G,51.6419,19.3026,38.7433,28.1646,43.2855,0.6118,1.1086,-1,89.8436
167807,1112209352,G,125.519,-11.1011,33.3244,-120.505,35.1248,-1.9465,1.8924,-1,G,45.6716,7.9168,-37.3327,-25.0894,38.1629,-0.6174,-1.3618,1,89.903
167807,1112255000,G,82.6835,-39.0794,23.0876,-69.1108,45.3898,-1.2072,2.608,-1,G,61.3622,30.6923,-29.1072,-44.4529,42.2995,-0.9169,-0.7589,1,88.0105
167807,1111654023,G,96.0251,-29.0593,-37.1772,-83.6314,47.1867,-1.3369,-2.2342,-1,G,84.4789,-49.1594,43.5884,-53.1043,65.7008,-0.7391,2.4162,1,87.8961
167807,1112424575,G,40.7917,35.5709,-12.5455,15.533,37.7184,0.401,-0.3391,-1,G,52.7612,-36.2049,21.4982,-31.7926,42.1066,-0.6972,2.6058,1,91.6909
167807,1113755177,G,64.8649,-8.3374,25.041,-59.2527,26.3925,-1.5481,1.8922,1,G,34.1632,12.8867,-22.3305,22.4142,25.7821,0.7859,-1.0474,-1,91.7684
167807,1112779600,G,149.502,50.8228,1.7196,-140.588,50.8519,-1.7413,0.0338,1,G,39.7983,-26.5972,20.1395,-21.6999,33.3617,-0.6116,2.4935,-1,91.8293
167807,1112930776,G,73.7726,-14.2357,-63.8806,-34.0441,65.4475,-0.4992,-1.7901,1,G,46.3486,-2.2062,32.4917,-32.9788,32.5666,-0.8903,1.6386,-1,93.1742
167807,1112791564,G,130.259,-36.3919,1.9605,-125.057,36.4446,-1.9467,3.0878,1,G,39.7746,34.7194,-5.7576,-18.5316,35.1936,-0.5048,-0.1643,-1,90.9759
167807,1113754868,G,38.1163,-17.2627,-33.9652,-1.0973,38.1004,-0.0288,-2.041,1,G,61.8352,10.3542,54.3143,27.6827,55.2924,0.4818,1.3824,-1,93.924
167807,1112868225,G,68.4552,25.298,-36.2276,-52.2845,44.1863,-1.0052,-0.9612,-1,G,35.2129,-15.0699,31.0929,6.7876,34.5524,0.1952,2.0221,1,92.4453
167807,1114346971,G,42.6725,-1.1564,-40.5086,13.3658,40.5251,0.3241,-1.5993,-1,G,50.8748,15.0771,47.9944,7.5799,50.3069,0.1501,1.2664,1,89.7917
167807,1114130185,G,44.59,42.2983,14.0887,-0.7821,44.583,-0.0175,0.3215,-1,G,52.0,-46.6206,20.4364,-10.6236,50.9031,-0.2072,2.7285,1,89.3804
167807,1114933634,G,53.7922,-19.5843,-43.2686,25.2561,47.4944,0.5094,-1.9958,-1,G,45.3242,17.7751,41.4621,4.3837,45.1116,0.097,1.1658,1,94.5463
167807,1114486717,G,104.187,29.1293,-32.9293,94.4565,43.9643,1.5081,-0.8466,1,G,61.6647,-34.7141,25.72,43.9994,43.204,0.8943,2.5039,-1,90.8491
167807,1121624023,G,84.5797,-19.6499,34.8359,74.5256,39.9957,1.3808,2.0844,1,G,37.0172,23.3471,-28.3564,4.5921,36.7311,0.1247,-0.882,-1,92.0356
167807,1121320859,G,46.589,-28.0038,-3.608,-37.0579,28.2353,-1.086,-3.0135,1,G,45.4396,27.7804,6.2048,35.4189,28.4649,1.044,0.2197,-1,91.9771
167807,1121650866,G,45.1782,-19.2596,-38.5746,13.4956,43.1153,0.3081,-2.0339,-1,G,56.3901,20.9182,41.7647,31.5907,46.7104,0.6332,1.1065,1,90.9419
167807,1121824362,G,65.9249,-25.1396,-29.4927,-53.3316,38.7533,-1.1241,-2.2767,-1,G,74.1088,51.4863,20.187,-49.333,55.3024,-0.803,0.3737,1,91.0421
167807,1121013644,G,146.739,-31.1354,-11.0259,142.973,33.0301,2.1715,-2.8013,1,G,38.88,34.3219,2.7957,18.0509,34.4356,0.5027,0.0813,-1,91.9117
167807,1122465133,G,193.043,44.0916,-1.8369,187.931,44.1299,2.1556,-0.0416,-1,G,140.385,-45.5588,3.6076,132.738,45.7014,1.7878,3.0626,1,91.3254
167807,1122548230,G,81.9512,-1.7656,-39.592,71.731,39.6314,1.3553,-1.6154,-1,G,39.4643,2.9013,38.723,7.038,38.8315,0.1803,1.496,1,92.3857
167807,1122355471,G,176.157,7.2915,-44.1401,170.381,44.7382,2.0472,-1.4071,-1,G,61.6096,-6.0351,35.1936,50.2068,35.7073,1.1415,1.7406,1,88.2738
167807,1122795158,G,78.412,-10.6935,39.2008,67.0625,40.6332,1.2754,1.8371,1,G,87.7322,-7.6288,-52.8772,69.5898,53.4247,1.08,-1.7141,-1,91.6914
